Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
08:22:57,2022-10-08,5748489103,2636833970,1869.14,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
08:27:00,2022-10-08,4972307187,7951108994,7475.99,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
09:45:23,2022-10-08,9021009219,4589631242,582.22,UK pounds,Turkish lira,UK,UK,ACH,0,Normal_Small_Fan_Out
09:53:46,2022-10-08,7147448786,5557620276,105.98,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
10:06:30,2022-10-08,9021009219,6211426253,22639.41,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:40:09,2022-10-08,5168128801,8501920513,536.47,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
11:00:26,2022-10-08,4675771219,2697605096,23010.91191378696,UK pounds,UK pounds,UK,UK,Credit card,1,Cycle
11:09:38,2022-10-08,2369776263,1959647512,1553.61,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
11:18:06,2022-10-08,5931070343,6644790956,4050.55,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
11:26:30,2022-10-08,4922050844,8501920513,2781.17,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
12:30:53,2022-10-08,8501920513,9488471937,483.3,UK pounds,Turkish lira,UK,Turkey,Cross-border,1,Behavioural_Change_2
13:02:18,2022-10-08,377669591,3758118046,8651.4,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
13:59:52,2022-10-08,2649480083,3546293157,7754.01,UK pounds,US dollar,UK,UK,Debit card,1,Structuring
14:28:27,2022-10-08,8501920513,4922050844,3267.88,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
15:14:58,2022-10-08,8501920513,813395681,6483.67,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
15:41:44,2022-10-08,2626270774,1082642344,16429.515087834323,UK pounds,UK pounds,UK,UK,Cheque,1,Layered_Fan_In
15:48:50,2022-10-08,9855729126,2327949023,7603.76,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
17:16:35,2022-10-08,3758118046,6670277228,6408.53,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
17:17:07,2022-10-08,988008298,950578871,605.84,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
17:48:46,2022-10-08,6644790956,7155031670,38167.04,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Mutual
17:53:28,2022-10-08,3919105611,7735150966,13182.2,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
18:01:37,2022-10-08,987302110,2236273740,9983.25,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Foward
20:34:03,2022-10-08,927895922,7415281931,501.46,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
21:21:58,2022-10-08,5748489103,7067073417,1035.21,UK pounds,UK pounds,UK,UK,Debit card,1,Behavioural_Change_1
22:22:28,2022-10-08,8501920513,9023752117,9575.52,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Group
03:56:46,2022-10-09,2369776263,4100600686,8313.11,UK pounds,UK pounds,UK,UK,ACH,1,Scatter-Gather
04:03:42,2022-10-09,2369776263,4254045660,9815.01,UK pounds,UK pounds,UK,UK,Credit card,1,Scatter-Gather
05:33:06,2022-10-09,3758118046,2487128589,2597.2,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
08:20:01,2022-10-09,5748489103,7909213375,2846.14,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
08:47:14,2022-10-09,78750373,3919105611,12235.98,UK pounds,UK pounds,UK,UK,ACH,1,Layered_Fan_In
09:39:03,2022-10-09,5748489103,852237169,2188.37,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
09:40:40,2022-10-09,3758118046,6686003020,923.08,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:13:57,2022-10-09,2737194318,2327949023,7636.06,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
10:34:12,2022-10-09,4675771219,1201457552,1600.64,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:38:07,2022-10-09,1082642344,7835418024,102.64,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:38:48,2022-10-09,3989101183,2987279234,8231.19,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
10:43:28,2022-10-09,8501920513,1766338062,7744.01,UK pounds,Mexican Peso,UK,Mexico,Cross-border,1,Behavioural_Change_2
10:56:58,2022-10-09,2369776263,7701458546,8331.22,UK pounds,UK pounds,UK,UK,ACH,1,Scatter-Gather
11:14:56,2022-10-09,4316483340,4591157650,3318.16,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
12:19:19,2022-10-09,4316483340,2675850320,1175.95,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:19:02,2022-10-09,4316483340,5830220435,347.87,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
13:34:12,2022-10-09,4768708377,8501920513,2900.05,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
14:26:37,2022-10-09,3758118046,290208168,1066.72,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
15:27:56,2022-10-09,2369776263,1616426028,3557.74,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
15:42:45,2022-10-09,4768708377,8501920513,3601.12,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
15:47:43,2022-10-09,9023752117,8501920513,2238.19,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Group
16:07:01,2022-10-09,6644790956,7155031670,37994.87,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Mutual
16:19:25,2022-10-09,5748489103,383512151,19404.08,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
17:52:20,2022-10-09,6219666393,7634292113,2913.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
17:56:08,2022-10-09,5748489103,6137865155,7796.59,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
17:58:44,2022-10-09,6186266461,8501920513,6534.9,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
18:43:15,2022-10-09,4675771219,3471154532,710.36,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
19:01:50,2022-10-09,8498139448,7951108994,7402.01,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
19:17:35,2022-10-09,1775046511,4497771501,3867.03,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
19:40:58,2022-10-09,383512151,5748489103,8433.41,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
19:56:12,2022-10-09,3088684435,8501920513,638.65,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
21:15:55,2022-10-09,3758118046,290208168,1494.67,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
21:25:56,2022-10-09,6137865155,5748489103,5524.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
22:14:50,2022-10-09,8501920513,6186266461,1533.82,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
22:24:27,2022-10-09,2528352705,3546293157,7808.01,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
23:13:02,2022-10-09,6219666393,7816832044,2644.11,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Small_Fan_Out
23:18:49,2022-10-09,9021009219,2629868522,156.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
23:22:22,2022-10-09,8707551848,3919105611,5371.25,UK pounds,Albanian lek,UK,UK,Debit card,1,Layered_Fan_In
23:43:21,2022-10-09,7401327478,9795933152,9648.1,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
23:56:30,2022-10-09,6340007440,4316483340,164.63,UK pounds,Indian rupee,UK,India,Cash Withdrawal,1,Cash_Withdrawal
07:13:56,2022-10-10,5510084877,2758469152,5803.06,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
09:15:58,2022-10-10,5748489103,7925512303,13532.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
09:27:20,2022-10-10,5781631875,5748489103,2489.42,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
09:30:15,2022-10-10,927895922,5001847707,2717.3,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:43:05,2022-10-10,3758118046,377669591,2925.68,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
10:57:50,2022-10-10,927895922,4249194661,7008.55,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
11:00:03,2022-10-10,9021009219,2629868522,54.71,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
11:37:10,2022-10-10,7925512303,5748489103,1997.28,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
12:00:33,2022-10-10,3758118046,1792602773,808.25,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
12:20:26,2022-10-10,1681811645,4977263336,756.51,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
12:49:33,2022-10-10,5262095561,927895922,3425.35,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
12:51:32,2022-10-10,2758469152,3318542011,6590.03,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
12:59:36,2022-10-10,8501920513,8902749042,1834.75,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
13:15:53,2022-10-10,3973006897,927895922,2202.8,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
13:16:28,2022-10-10,6340007440,4316483340,39.71,UK pounds,Indian rupee,UK,India,Cash Withdrawal,1,Cash_Withdrawal
14:12:34,2022-10-10,4316483340,5903651674,27610.79,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:46:47,2022-10-10,8501920513,1235292621,6920.98,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
15:12:46,2022-10-10,3366160080,3546293157,8160.18,Euro,UK pounds,Germany,UK,Cross-border,1,Structuring
15:34:37,2022-10-10,5932891635,2327949023,7561.26,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
16:05:21,2022-10-10,852237169,5748489103,9953.92,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
16:14:00,2022-10-10,2758469152,5847712665,8586.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
16:24:03,2022-10-10,3962781574,2987279234,7739.38,Mexican Peso,UK pounds,UK,UK,ACH,1,Structuring
16:54:09,2022-10-10,1681811645,8168046088,921.5,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
17:22:18,2022-10-10,3758118046,6189667870,2099.64,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
17:24:20,2022-10-10,2369776263,266182901,17542.48,UK pounds,UK pounds,UK,UK,Credit card,1,Scatter-Gather
18:48:45,2022-10-10,4316483340,7069111919,1705.22,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:37:04,2022-10-10,5543970881,3758118046,3531.36,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
19:43:44,2022-10-10,1681811645,4622103780,2002.26,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
19:47:11,2022-10-10,3758118046,6670277228,6367.83,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
21:11:12,2022-10-10,3211540762,6644790956,4188.76,UK pounds,UK pounds,UK,UK,Credit card,1,Structuring
21:27:48,2022-10-10,6644790956,7381979550,2180.89,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
21:29:31,2022-10-10,510130433,5748489103,5919.3,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
21:29:37,2022-10-10,927895922,4531384231,3827.53,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
21:49:35,2022-10-10,3758118046,6189667870,3678.29,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
22:40:29,2022-10-10,5617532830,4497771501,3985.42,Mexican Peso,Naira,Mexico,Nigeria,Cross-border,1,Structuring
22:50:40,2022-10-10,9935797721,7951108994,7346.15,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring
03:09:33,2022-10-11,8501920513,9023752117,10401.88,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Group
03:28:55,2022-10-11,2783073273,6644790956,4205.83,UK pounds,US dollar,UK,UK,Credit card,1,Structuring
04:49:47,2022-10-11,4316483340,3790071670,3877.09,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
07:02:45,2022-10-11,6644790956,2124787936,200.78,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
08:50:03,2022-10-11,2636833970,5748489103,856.37,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
08:56:45,2022-10-11,7925512303,5748489103,2481.6,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
09:05:25,2022-10-11,9350495967,2327949023,7798.79,Swiss franc,UK pounds,Switzerland,UK,Cross-border,1,Structuring
09:22:54,2022-10-11,4922050844,8501920513,2732.46,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
09:46:54,2022-10-11,3758118046,6686003020,1107.27,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
10:42:25,2022-10-11,6219666393,8819849318,2506.55,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
11:01:08,2022-10-11,6644790956,4977094356,9567.34,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
11:47:20,2022-10-11,3919105611,5775866586,13616.64,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
11:54:48,2022-10-11,8461222114,2987279234,8115.96,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
13:00:44,2022-10-11,6644790956,6809308219,9328.49,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
14:01:47,2022-10-11,7401327478,4336451277,2492.7,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
15:13:42,2022-10-11,2369776263,3132532526,356.59,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
16:48:39,2022-10-11,1422891634,4497771501,3919.79,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
17:00:47,2022-10-11,5262095561,927895922,3681.09,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
18:27:56,2022-10-11,5748489103,5373239176,1053.49,UK pounds,Naira,UK,Nigeria,Cross-border,1,Behavioural_Change_1
20:15:12,2022-10-11,5748489103,1481628676,1762.08,UK pounds,UK pounds,UK,UK,Cheque,1,Behavioural_Change_1
20:34:08,2022-10-11,813395681,8501920513,6050.21,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
22:11:25,2022-10-11,8501920513,2121314434,4536.38,UK pounds,Moroccan dirham,UK,Morocco,Cross-border,1,Behavioural_Change_2
22:35:39,2022-10-11,6978297094,1082642344,68844.61533376899,UK pounds,UK pounds,UK,UK,Cheque,1,Layered_Fan_In
22:37:21,2022-10-11,3758118046,377669591,2159.62,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
02:34:14,2022-10-12,1681811645,5149275993,14893.09,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
03:43:16,2022-10-12,927895922,4249194661,6454.82,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
03:45:51,2022-10-12,5748489103,1446646036,1392.35,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
07:41:10,2022-10-12,7401327478,4336451277,4000.42,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
08:26:54,2022-10-12,988008298,3618767957,2211.14,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
08:57:55,2022-10-12,5748489103,1446646036,2149.26,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
09:22:48,2022-10-12,4753178310,1082642344,47532.33393031663,UK pounds,UK pounds,UK,UK,ACH,1,Layered_Fan_In
10:31:36,2022-10-12,988008298,2412223098,8542.338123106456,UK pounds,UK pounds,UK,UK,ACH,1,Scatter-Gather
11:10:22,2022-10-12,4854710545,3758118046,712.08,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
12:03:44,2022-10-12,5748489103,2192556062,17338.62,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
12:34:19,2022-10-12,8501920513,3088684435,507.1,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
12:46:56,2022-10-12,1681811645,4157322207,61062.75815762096,Turkish lira,UK pounds,Turkey,UK,Cross-border,1,Layered_Fan_In
12:48:25,2022-10-12,5262095561,927895922,5114.26,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
13:27:29,2022-10-12,4922050844,8501920513,3836.61,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
14:47:59,2022-10-12,5748489103,7909213375,3869.69,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
15:24:46,2022-10-12,2246512128,8501920513,2592.22,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
15:42:56,2022-10-12,9085937756,6644790956,4192.81,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
16:40:55,2022-10-12,2369776263,5230205652,6766.12,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
16:54:16,2022-10-12,4219292083,1082642344,798.23,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
18:29:53,2022-10-12,9021009219,3026367407,3508.0,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
18:39:41,2022-10-12,5772818011,2327949023,7383.77,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
18:41:10,2022-10-12,2440773125,7951108994,7548.43,UK pounds,UK pounds,UK,UK,Debit card,1,Structuring
20:33:20,2022-10-12,7877257337,4497771501,3904.73,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
20:42:35,2022-10-12,5883863892,2987279234,7863.05,UK pounds,UK pounds,UK,UK,Cheque,1,Structuring
21:39:46,2022-10-12,7401327478,9795933152,5175.13,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
21:40:22,2022-10-12,4922050844,8501920513,3253.38,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
22:29:21,2022-10-12,5748489103,7909213375,4383.92,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
23:12:19,2022-10-12,1681811645,4622103780,2143.59,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
23:51:22,2022-10-12,4316483340,4621157289,2830.86,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
03:55:42,2022-10-13,1457356634,6644790956,4219.37,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
05:31:23,2022-10-13,8501920513,4922050844,2883.84,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
07:29:16,2022-10-13,2487128589,3758118046,825.7,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
10:07:32,2022-10-13,6530368997,9021009219,3928.89,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:14:17,2022-10-13,1464968036,2987279234,8258.75,UK pounds,UK pounds,UK,UK,ACH,1,Structuring
10:50:57,2022-10-13,8902749042,8501920513,2491.28,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
10:51:05,2022-10-13,7401327478,9369564036,112711.24,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_single_large
11:00:01,2022-10-13,5262095561,927895922,2823.19,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
11:34:15,2022-10-13,2482785525,2838355094,1675.5,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
13:05:07,2022-10-13,5748489103,7909213375,3060.98,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
13:29:14,2022-10-13,4390377272,2327949023,7662.52,Dirham,UK pounds,UK,UK,Cheque,1,Structuring
13:33:58,2022-10-13,8753869372,4497771501,3963.62,UK pounds,Naira,UK,Nigeria,Cross-border,1,Structuring
13:57:20,2022-10-13,3919105611,8278221934,26754.38,UK pounds,Moroccan dirham,UK,Morocco,Cross-border,0,Normal_Mutual
14:00:08,2022-10-13,8902749042,8501920513,2603.96,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
14:13:25,2022-10-13,1681811645,9301908433,290.32,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:50:14,2022-10-13,7401327478,4336451277,2792.75,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
